person.name,fram.stock.id
JH,1
JH,2
JH,3
JH,4
JH,5
JH,6
JH,7
JH,8
JH,9
JH,10
JH,11
JH,12
JH,13
JH,14
JH,15
JH,16
JH,17
JH,18
JH,19
JH,20
JH,21
JH,22
JH,23
JH,24
JH,25
JH,26
JH,27
JH,28
JH,29
JH,30
JH,31
JH,32
JH,33
JH,34
JH,35
JH,36
JH,37
JH,38
JH,39
JH,40
JH,41
JH,42
JH,43
JH,44
JH,45
JH,46
CT,47
CT,48
JH,49
JH,50
JH,51
JH,52
JH,53
JH,54
JH,55
JH,56
JH,57
JH,58
JH,59
JH,60
JH,61
JH,62
JH,63
JH,64
JH,65
JH,66
JH,67
JH,68
JH,69
JH,70
JH,71
JH,72
JH,73
JH,74
JH,75
JH,76
JH,77
JH,78
JH,79
JH,80
JH,81
JH,82
JH,83
JH,84
JH,85
JH,86
JH,87
JH,88
JH,89
JH,90
JH,91
JH,92
JH,93
JH,94
JH,95
JH,96
JH,97
JH,98
JH,99
JH,100
JH,101
JH,102
JH,103
JH,104
JH,105
JH,106
JH,107
JH,108
JH,109
JH,110
JH,111
JH,112
JH,113
JH,114
JH,115
JH,116
JH,117
JH,118
JH,119
JH,120
,121
,122
,123
,124
CT,125
CT,126
JH,127
JH,128
JH,129
JH,130
JH,131
JH,132
JH,133
JH,134
JH,135
JH,136
JH,137
JH,138
JH,139
JH,140
JH,141
JH,142
JH,143
JH,144
JH,145
JH,146
CT,147
CT,148
JH,149
JH,150
JH,151
JH,152
JH,153
JH,154
JH,155
JH,156
JH,157
JH,158
JH,159
JH,160
JH,161
JH,162
JH,163
JH,164
AHB,165
AHB,166
AHB,167
AHB,168
AHB,169
AHB,170
AHB,171
AHB,172
AHB,173
AHB,174
AHB,175
AHB,176
CF,177
CF,178
CF,179
CF,180
CF,181
CF,182
CF,183
CF,184
CF,185
CF,186
CF,187
CF,188
CF,189
CF,190
CF,191
CF,192
CF,193
CF,194
CF,195
CF,196
CF,197
CF,198
AHB,199
AHB,200
AHB,201
AHB,202
AHB,203
AHB,204
JS,205
JS,206
JS,207
JS,208
JS,209
JS,210
JS,211
JS,212
JS,213
JS,214
JS,215
JS,216
JS,217
JS,218
JS,219
JS,220
JS,221
JS,222
JS,223
JS,224
JS,225
JS,226
JS,227
JS,228
JS,229
JS,230
JS,231
JS,232
JS,233
JS,234
JS,235
JS,236
JS,237
JS,238
,239
,240
,241
,242
,243
,244
,245
,246
