Person Name:JS
FRAM Run Name:bkCoho2015Post
FRAM Run ID:139
FRAM DB Name:./TestImport.mdb
-------------------------------------------------------------
"fram.fishery.name","fram.fishery.id","fram.time.step","fishery.flag","nonselective.catch","msf.catch","cnr.mortalities","mark.release.rate","mark.missid.rate","unmark.missid.rate","mark.incidental.rate"
"West Coast Vanc Is Sport",190,1,28,796,939,,0.05,0.03,0.02,0.05
"West Coast Vanc Is Sport",190,2,28,5153,4859,,0.05,0.03,0.02,0.05
"West Coast Vanc Is Sport",190,3,28,9210,4192,,0.05,0.03,0.02,0.05
"West Coast Vanc Is Sport",190,4,28,2117,367,,0.05,0.03,0.02,0.05
"North Georgia Straits Sport",191,1,8,0,223,,0.05,0.03,0.02,0.05
"North Georgia Straits Sport",191,2,8,0,710,,0.05,0.03,0.02,0.05
"North Georgia Straits Sport",191,3,8,0,947,,0.05,0.03,0.02,0.05
"North Georgia Straits Sport",191,4,8,0,4575,,0.05,0.03,0.02,0.05
"North Georgia Straits Sport",191,5,8,0,0,,0.05,0.03,0.02,0.05
"South Georgia Straits Sport",192,1,8,0,146,,0.05,0.03,0.02,0.05
"South Georgia Straits Sport",192,2,8,0,578,,0.05,0.03,0.02,0.05
"South Georgia Straits Sport",192,3,8,0,434,,0.05,0.03,0.02,0.05
"South Georgia Straits Sport",192,4,8,0,320,,0.05,0.03,0.02,0.05
"South Georgia Straits Sport",192,5,8,0,464,,0.05,0.03,0.02,0.05
-------------------------------------------------------------
"fram.stock.name","fram.stock.id","escapement.flag","target.escapement","recruit.scalar"
"Georgia Strait Mainland Hatchery UnMarked",205,0,0,0.0016
"Georgia Strait Mainland Hatchery Marked",206,0,0,0.2844
"Georgia Strait Mainland Wild UnMarked",207,0,0,0.2703
"Georgia Strait Mainland Wild Marked",208,0,0,0
"Georgia Strait Vanc. Isl. Hatchery UnMarked",209,0,0,0.0127
"Georgia Strait Vanc. Isl. Hatchery Marked",210,0,0,0.0858
"Georgia Strait Vanc. Isl. Wild UnMarked",211,0,0,0.2703
"Georgia Strait Vanc. Isl. Wild Marked",212,0,0,0
"Johnstone Strait Hatchery UnMarked",213,0,0,0
"Johnstone Strait Hatchery Marked",214,0,0,0.1657
"Johnstone Strait Wild UnMarked",215,0,0,0.2703
"Johnstone Strait Wild Marked",216,0,0,0
"SW Vancouver Island Hatchery UnMarked",217,0,0,0.0735
"SW Vancouver Island Hatchery Marked",218,0,0,0.8193
"SW Vancouver Island Wild UnMarked",219,0,0,0.2421
"SW Vancouver Island Wild Marked",220,0,0,0
"NW Vancouver Island Hatchery UnMarked",221,0,0,0
"NW Vancouver Island Hatchery Marked",222,0,0,1.2114
"NW Vancouver Island Wild UnMarked",223,0,0,0.2421
"NW Vancouver Island Wild Marked",224,0,0,0
"Lower Fraser River Hatchery UnMarked",225,0,0,0.0038
"Lower Fraser River Hatchery Marked",226,0,0,0.3203
"Lower Fraser River Wild UnMarked",227,0,0,0.196
"Lower Fraser River Wild Marked",228,0,0,0
"Upper Fraser River Hatchery UnMarked",229,2,195,0.01
"Upper Fraser River Hatchery Marked",230,0,0,0.035
"Upper Fraser River Wild UnMarked",231,0,0,0.4613
"Upper Fraser River Wild Marked",232,0,0,0
"BC Central Coast Hatchery/Wild UnMarked",233,0,0,1.3951
"BC Central Coast Hatchery/Wild Marked",234,0,0,0.0051
"BC North Coast Hatchery/Wild UnMarked",235,0,0,3.7505
"BC North Coast Hatchery/Wild Marked",236,0,0,0.0435
"Trans Boundary Hatchery/Wild UnMarked",237,0,0,3.7505
"Trans Boundary Hatchery/Wild Marked",238,0,0,0.0435
